city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
hambantota,6.1249126,81.1242563,Clouds,76.44,83,1010,5.75
manggar,-2.8672641,108.2759285,Clouds,78.06,88,1011,11.56
cap malheureux,-19.9859951,57.619612,Clouds,68.45,74,1016,3.0
porto santo,33.0657845,-16.336223627136313,Clouds,66.81,77,1022,5.75
san buenaventura,34.3640573,-119.31101594866902,Clear,61.03,60,1002,7.0
dwarka,22.2471009,68.9742446,Clear,78.69,59,1015,11.36
chaozhou,23.6566146,116.6205482,Clear,67.91,80,1019,0.85
cabadiangan,10.1404214,122.9469895,Clouds,81.36,80,1011,4.47
laguna,-28.4837443,-48.7816572,Clear,62.91,89,1017,8.39
suez,29.974498,32.537086,Clear,63.93,66,1016,7.56
kruisfontein,-34.0119558,24.7433295,Rain,56.98,77,1020,3.02
kismayo,-0.3602433,42.5409025,Clouds,77.56,83,1010,9.44
bosaso,11.27848,49.179952,Clouds,79.79,78,1012,2.17
ghanzi,-21.6968123,21.6457062,Clouds,77.63,31,1008,7.54
sahrak,34.107375,64.305199,Clear,34.99,84,1023,2.86
pacific grove,36.6211149,-121.917794,Clear,56.3,73,1021,4.0
kiruna,68.166667,19.5,Clouds,14.65,97,1006,0.92
necochea,-38.5545494,-58.7392624,Clouds,71.15,29,1011,20.87
fortuna,40.597407,-124.156034,Clear,55.22,71,1022,9.22
lewiston,46.4195913,-117.0216144,Clouds,37.62,72,1019,1.05
srednekolymsk,67.455497,153.7071456,Clouds,-4.95,97,1012,2.75
namatanai,-3.6641739,152.4407285,Clouds,86.67,67,1009,6.62
urumqi,43.419754,87.319461,Clouds,16.52,87,1036,4.81
tual,-5.6389933,132.7429249,Clouds,83.14,76,1010,6.78
caluquembe,-13.7871059,14.6887752,Clouds,58.84,92,1013,4.74
gewane,10.159228,40.661596,Rain,73.27,74,1012,4.18
ust-kamchatsk,56.2400377,162.5369568,Clouds,27.68,65,1008,4.03
alexandria,31.199004,29.894378,Clouds,61.21,55,1016,7.43
kirakira,-10.4568963,161.9201736,Rain,86.34,70,1007,8.95
nagato,34.3708941,131.1821587,Clouds,57.15,67,1025,6.24
tanggu,29.134955,101.505585,Clear,36.19,77,1022,1.57
coihaique,-45.5711804,-72.0684863,Clouds,59.25,51,1009,9.22
le vauclin,14.5452941,-60.8398929,Clouds,80.58,83,1012,5.75
kaeo,-35.1017438,173.7751075,Clouds,73.45,75,1013,12.53
lac-megantic,45.5772636,-70.8819927,Clouds,34.61,53,1029,4.97
tortoli,39.9266045,9.6591551,Clouds,64.04,57,1019,4.12
van buren,35.4424419,-94.3431393,Clouds,74.71,69,1018,1.99
divnomorskoye,44.5040335,38.1325506,Clouds,51.17,64,1023,6.87
acari,-22.8221528,-43.3406743,Clouds,72.66,88,1014,4.61
nhamunda,-2.1921521,-56.7111308,Clouds,80.06,74,1010,2.91
nantucket,41.315731400000004,-70.00901408779944,Clear,45.07,77,1034,5.5
los llanos de aridane,28.6592222,-17.9151945,Clear,64.13,81,1019,9.22
bhadravati,13.8502075,75.7037863,Clouds,64.04,79,1014,4.5
college,45.32664695,-75.83855656986515,Clouds,45.3,36,1026,6.91
fontenay-le-comte,46.4660771,-0.8064003,Clear,47.66,89,1022,0.16
channel-port aux basques,47.5776635,-59.1424188,Clouds,37.72,61,1026,16.08
rafai,4.9712472,23.9320764,Clouds,70.95,87,1010,2.37
monte alegre,-1.9989108,-54.0727694,Clouds,79.52,72,1011,3.29
luganville,-15.5121107,167.1784414,Clouds,84.74,68,1007,2.35
nyahururu,0.0333,36.3666,Clouds,51.94,93,1015,5.48
sur,33.2721211,35.1964023,Clouds,61.11,73,1015,1.45
puke,-37.2006384,174.9036875,Clouds,69.3,84,1016,11.41
vertientes,21.2586316,-78.1499374,Clouds,73.6,82,1009,6.33
rio grande,-53.7856766,-67.7016369,Clear,44.1,57,1006,20.02
kropotkin,45.4344413,40.5750274,Clouds,43.09,93,1025,6.49
siaya,0.0593318,34.2835138,Clouds,62.8,79,1011,3.2
tulsipur,28.10627885,82.31895613569378,Clear,59.11,81,1017,4.9
pointe michel,15.2604939,-61.376678,Clouds,78.08,83,1014,11.9
zyryanka,65.733597,150.893326,Snow,-0.42,97,1012,6.73
cowra,-33.81112855,148.69356504178705,Clouds,69.21,51,1019,6.33
horta,38.5368032,-28.630109,Clouds,69.26,93,1010,20.0
den helder,52.9529894,4.8267592494488,Clouds,54.64,78,1013,18.99
polunochnoye,60.869335,60.425301,Clouds,24.85,98,1017,4.09
riyadh,24.638916,46.7160104,Clouds,73.6,23,1013,8.81
ulvik,60.6049906,7.225060762462181,Clouds,32.79,99,1001,4.52
san quintin,30.5613719,-115.938162,Clear,63.05,58,1018,19.1
pimentel,39.485542,9.06554,Clouds,58.06,78,1019,1.52
aklavik,68.2182579,-135.013585,Clouds,15.8,89,1008,14.76
shaunavon,49.6507703,-108.4100213,Clouds,3.79,94,1030,6.93
alghero,40.5600205,8.3151473,Clear,59.09,100,1019,2.3
maarianhamina,60.102423,19.94126,Clouds,48.09,93,1003,6.91
manzhouli,49.47671775,117.79463368396365,Snow,21.9,71,1028,4.12
kamenskoye,53.1793307,37.7767378,Clouds,41.72,92,1024,11.07
udachnyy,81.1420793,64.14151587946739,Clouds,-8.0,97,1006,14.81
ozgon,40.7707645,73.2978049,Clouds,28.71,59,1033,5.93
porto nacional,-10.7019786,-48.4110952,Clouds,80.56,65,1012,2.77
kholmogory,64.2270008,41.6512435,Clouds,31.41,98,1008,3.53
misratah,32.3745318,15.0904886,Clouds,67.44,65,1020,6.35
tigil,57.7598,158.6836121,Snow,25.57,96,1006,5.97
mani,12.8531843,7.8773704,Clear,76.24,23,1011,6.11
bud,50.8285252,-4.5469361,Clouds,52.92,89,1013,1.99
ahipara,-35.1664105,173.1562074,Clouds,68.29,73,1012,3.69
lompoc,34.6391501,-120.4579409,Clear,57.85,67,1020,16.11
sayansk,54.1123301,102.1785158,Clouds,17.8,94,1031,2.44
tura,47.3900474,0.6889268,Clear,46.98,100,1022,3.44
sarkand,45.4109229,79.9155159,Clouds,30.87,76,1037,2.44
acapulco,16.8680495,-99.8940182,Clouds,79.77,81,1011,8.23
lagunas,16.8037482,-95.0709133,Clear,71.82,86,1014,9.19
krasnogorsk,55.8217545,37.3400897,Clouds,48.0,87,1017,15.66
madimba,-4.31309405,15.312465272784873,Rain,72.1,96,1011,1.57
raga,11.80501475,10.530188496056002,Clouds,74.25,26,1011,6.51
general pico,-35.6591085,-63.7576103,Clouds,76.96,25,1005,12.59
tungor,53.3889108,142.9543794,Clouds,26.44,78,1004,22.7
sinnamary,5.3770561,-52.9571586,Clouds,78.12,88,1013,8.59
salalah,17.0174945,54.1010923,Clear,73.89,65,1015,3.89
pisco,-13.7099813,-76.2029793,Clouds,61.86,87,1016,4.54
vanino,49.090481,140.260864,Clear,31.78,44,1012,22.5
port-cartier,50.0187481,-66.8756913,Snow,34.05,53,1024,10.4
bealanana,-14.5423728,48.7482434,Clouds,58.93,98,1016,2.71
tucupita,9.0660268,-62.0542973,Clouds,74.44,96,1012,2.98
afmadu,0.5148092,42.0730434,Clouds,74.23,93,1010,6.4
marawi,8.0047262,124.2854351,Clouds,73.4,85,1012,1.9
flers,50.32053,2.25255,Clouds,51.44,95,1019,9.37
sahuaripa,29.0549963,-109.2347554,Clouds,74.52,46,1014,6.78
el faiyum,29.3074076,30.8399651,Clouds,64.38,60,1016,7.78
komsomolskiy,43.98266,46.6950001,Clouds,52.02,80,1025,8.68
onega,63.911644,38.094822,Clouds,33.33,84,1008,3.74
formoso do araguaia,-11.8059989,-49.5257153,Clouds,80.17,63,1011,1.7
nicoya,10.1488271,-85.4532657,Clouds,73.94,93,1012,3.04
umm jarr,13.8013,32.4078,Clear,75.24,22,1010,13.0
seoul,37.5666791,126.9782914,Clouds,45.79,71,1026,0.83
kantunilkin,21.1016621,-87.4869165,Clouds,73.58,79,1012,4.23
rio rancho,35.269381,-106.632819,Clear,66.18,22,1005,17.0
chenzhou,25.7733598,113.0094337,Clouds,73.87,69,1018,3.18
valreas,44.3851455,4.9906089,Clouds,53.92,92,1020,6.93
nizhniy kuranakh,58.819115,125.529327,Snow,18.03,94,1021,8.08
zlynka,52.4274018,31.7371106,Clouds,40.21,89,1022,9.78
eureka,40.7906871,-124.1673746,Clouds,53.35,87,1021,4.0
mount isa,-20.7289898,139.4931522,Clouds,84.06,51,1013,2.3
dubbo,-32.2478964,148.6026502,Clouds,71.76,53,1020,12.66
manaure,11.7771128,-72.4469366,Clouds,80.69,79,1011,10.02
hirado,33.3680705,129.5539153,Clouds,67.91,49,1025,2.91
okha,53.5891082,142.9497542,Clouds,27.0,79,1004,24.2
upata,8.0073377,-62.3977917,Rain,71.91,95,1012,3.36
stupino,54.886598,38.0772589,Clouds,42.8,92,1020,11.95
payakumbuh,-0.2249721,100.6318259,Clouds,70.66,96,1013,0.22
rocha,-34.4810095,-54.3365608,Clouds,56.95,96,1018,9.1
katsuura,35.1521846,140.3207449,Clear,65.88,60,1025,17.6
grenfell,-33.8967902,148.160764,Clouds,68.25,52,1019,8.59
zalantun,47.746019,121.9705318,Clouds,28.81,63,1030,1.79
xining,36.617331,101.7761976,Clouds,39.22,61,1014,1.19
kasangulu,-4.5900244,15.1676574,Rain,69.8,98,1012,1.34
kapit,2.0139027,112.9356766,Clouds,75.24,97,1011,1.3
arinos,-15.917223,-46.106111,Clouds,73.51,74,1013,1.23
warren,42.4932575,-83.0062746,Clouds,57.04,56,1024,10.36
san policarpo,12.1805518,125.5074292,Clouds,80.13,85,1012,10.96
yirol,6.5566444,30.5021651,Rain,72.77,82,1009,1.5
santa rosalia,26.6817479,-105.456666,Clear,72.05,28,1011,5.59
tadine,-21.5482593,167.8822897,Clouds,77.2,76,1008,15.93
sable-sur-sarthe,47.8400712,-0.3352048,Clear,42.33,93,1022,4.47
tautira,-27.145219,-109.430579,Clouds,72.36,60,1023,16.11
hay river,60.8155874,-115.7866099,Clouds,6.33,91,1020,6.22
barao de melgaco,-16.195776,-55.9668049,Clear,80.26,30,1008,3.33
otane,-39.8940275,176.6247302,Clouds,61.88,55,1026,14.41
solsvik,60.436137,4.9663351,Clouds,50.52,1,999,21.0
vestmannaeyjar,63.42704985,-20.269317184750797,Clouds,42.93,81,975,12.88
izumo,35.3668891,132.7548827,Clouds,61.11,64,1025,5.53
sonqor,34.7832217,47.5988073,Clouds,43.63,72,1018,2.15
amapa,21.7844465,-105.254711,Clear,77.45,77,1012,5.91
kemijarvi,66.7161179,27.4333534,Snow,29.46,97,1005,5.48
neuquen,-38.9519679,-68.0591741,Rain,65.44,64,1010,9.82
grand gaube,-20.0086191,57.6644156,Clouds,68.38,74,1016,3.0
tupik,54.426773,119.94368,Clouds,0.1,94,1030,1.99
saint-pierre,48.3832725,7.4718731,Clouds,50.54,90,1022,3.29
mpophomeni,-29.5669444,30.1816667,Rain,57.81,97,1018,2.93
morro bay,35.3658075,-120.849901,Clouds,58.06,69,1021,8.01
vanavara,60.345203,102.28093,Clouds,19.36,91,1018,11.18
muisne,0.6104236,-80.0185958,Clouds,73.38,82,1013,8.99
tecoanapa,16.9875,-99.258889,Clouds,74.01,92,1012,3.33
champerico,14.293651,-91.911813,Clear,81.16,74,1010,3.4
oktyabrskiy,55.6086034,37.9743705,Clouds,48.16,87,1018,8.95
pak phanang,8.3476389,100.1996122,Clouds,82.06,85,1011,7.99
san patricio,27.9695325,-97.7731720386266,Clouds,76.53,68,1016,9.48
teknaf,20.8684566,92.298748,Clouds,69.8,74,1014,5.57
manono,-13.85082285,-172.1094688399685,Rain,89.02,79,1011,9.22
sisimiut,66.9371906,-53.6664816,Clouds,9.95,71,999,12.01
thinadhoo,0.5326429,72.99714160821568,Clouds,81.68,73,1011,13.85
encruzilhada do sul,-30.536175200000002,-52.51560417047334,Clouds,55.94,93,1017,7.36
itaituba,-4.2625218,-55.9878139,Clouds,76.96,83,1010,2.62
