city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
berlevag,70.79904505,29.150528646532546,Clouds,31.41,87,1008,3.44
burnie,-41.0523688,145.9064073,Clouds,62.04,84,1015,14.12
constitucion,-35.3318306,-72.4118998,Clouds,54.77,95,1018,15.68
bambous virieux,-20.347199500000002,57.76474767388835,Clouds,73.96,73,1017,2.3
kenora,49.766215,-94.4893528,Clouds,30.65,86,1017,8.05
kahului,20.8894101,-156.4727118,Clouds,84.13,57,1018,23.02
padang,-0.9247587,100.3632561,Rain,76.82,88,1012,1.74
chojnow,51.2722138,15.939385448695303,Rain,53.73,76,1016,10.6
ocampo,27.3150222,-102.3967266,Clear,72.61,61,1014,8.75
tsihombe,-25.318547,45.484057,Clouds,73.8,78,1013,4.7
cabo san lucas,22.8938884,-109.9200604,Clear,78.42,60,1006,5.01
petropavlovsk-kamchatskiy,53.0199838,158.6471356,Clear,23.11,72,1009,7.61
sistranda,63.7301981,8.8297021,Rain,42.69,81,996,7.27
nelson bay,-32.7218138,152.1440889,Clouds,70.79,57,1020,3.0
chernigovka,54.34269,54.984863,Clouds,34.79,94,1024,11.07
angoche,-16.2292451,39.9081111,Clouds,75.99,80,1011,11.03
nouna,13.8537394,-4.3929239,Clouds,78.78,15,1011,8.37
urazovka,54.1232526,46.6812469,Clouds,38.59,92,1022,11.36
asyut,27.1832822,31.1853836,Clear,60.96,46,1015,7.05
okhotsk,59.3643921,143.2410816,Clear,5.36,69,1009,20.74
san ignacio,17.1527588,-89.0761718,Rain,75.18,83,1014,4.61
sao joao da barra,-21.6348588,-41.0487079,Clouds,71.71,88,1017,14.32
harper,41.3624875,-92.0510088,Clouds,68.72,80,1015,11.68
butig,7.7436836,124.3132473,Rain,76.28,79,1012,1.3
geraldton,-28.77035,114.6147159,Clouds,62.76,72,1012,10.36
emerald,-23.5263118,148.1618622,Clouds,74.3,51,1018,11.12
opunake,-39.4546624,173.8601616,Clouds,64.45,61,1021,27.63
codrington,51.508188,-2.3936619,Clouds,49.77,90,1014,3.0
kaitangata,-46.2817388,169.8464139,Clear,55.47,53,1028,9.62
tver,56.858675,35.9208284,Clouds,45.0,88,1015,10.18
lake havasu city,34.4838502,-114.3224495,Clear,65.73,28,1014,10.36
nueva loja,0.0850662,-76.883564,Rain,72.95,96,1009,2.95
monopoli,40.9522369,17.299948,Clouds,57.29,82,1020,4.88
bubaque,11.29969595,-15.833543367212418,Clear,82.47,71,1012,13.22
axim,4.865362,-2.242169,Clouds,78.51,83,1012,6.38
kabo,11.8556694,8.177501954080492,Clear,67.59,29,1011,3.51
bondo,46.000298,10.691971,Clouds,47.5,99,1019,0.6
sechura,-5.5575353,-80.8223327,Clouds,66.43,74,1014,17.49
brae,60.3963461,-1.3536585,Rain,50.18,85,992,23.82
toora-khem,52.4679232,96.117896,Clouds,20.03,81,1033,7.29
eston,51.1493598,-108.7530146,Clouds,-7.55,99,1034,2.57
te anau,-45.41449,167.717489,Clear,59.59,44,1025,2.91
touros,-5.1998625,-35.4595051,Clouds,78.33,76,1014,14.94
barentsburg,78.065362,14.2172367,Clouds,20.8,86,1013,9.1
dalvik,65.9710942,-18.5304388,Clouds,37.33,98,983,2.06
maragogi,-9.0118278,-35.222512,Clear,76.6,82,1015,6.67
enshi,30.2974854,109.4746431,Clouds,62.35,85,1019,1.32
santa eulalia del rio,38.9847076,1.5343593,Clear,62.37,81,1020,3.44
kavieng,-2.573474,150.795224,Rain,84.25,70,1009,4.76
alice springs,-23.6983884,133.8812885,Clouds,88.21,40,1007,21.85
bjornevatn,69.6673657,29.9872241,Clouds,30.54,93,1007,10.36
mokrousovo,53.937881,87.312881,Clouds,27.41,81,1033,9.26
meulaboh,4.1481951,96.1339107,Clouds,75.47,91,1010,3.94
abha,18.2164282,42.5043596,Clear,64.65,59,1025,0.0
antequera,37.0183652,-4.5596649,Clear,60.71,87,1021,5.01
vilyuysk,63.754082,121.626549,Clouds,3.65,97,1013,3.09
najran,17.5439809,44.2246817,Clear,67.26,30,1015,2.62
cabedelo,-6.97324,-34.8351609,Clouds,79.48,77,1015,12.06
yoichi,43.1954132,140.7835618,Clouds,53.46,62,1020,15.39
ribeira grande,37.8225227,-25.5194914,Clouds,68.13,98,1016,13.8
bethel,60.7922222,-161.7558333,Clouds,30.54,100,1008,5.75
nome,64.5011111,-165.4063889,Clouds,33.87,70,1003,9.22
adrian,41.8975152,-84.0373054,Clear,58.01,43,1023,0.0
marzuq,14.392507,46.470115,Clear,62.98,77,1015,4.45
arlit,18.739079,7.393331,Clear,72.64,18,1013,9.26
horsham,51.0630273,-0.3295028,Clear,49.71,89,1016,3.44
sibolga,1.736957,98.78461,Clouds,76.48,88,1011,2.24
iquitos,-3.749365,-73.2444145,Clouds,82.44,74,1006,3.44
doha,25.2856329,51.5264162,Clear,83.01,78,1014,13.8
sakakah,29.9784008,40.2047701,Clouds,62.17,43,1014,4.36
sioux lookout,50.11345465,-92.19624322619077,Clouds,34.05,87,1019,7.02
mys shmidta,68.8928813,-179.4130958,Clouds,4.57,84,1006,8.72
saskylakh,71.9649533,114.0939433,Clouds,-21.91,100,1007,5.93
san luis,-33.3019696,-66.3369903,Clouds,79.05,28,1001,25.93
les escoumins,48.34621,-69.404068,Clouds,38.98,71,1025,13.22
chuy,-33.6937948,-53.4561114,Clear,58.98,92,1018,8.03
kostomuksha,64.5873013,30.5969076,Snow,28.63,96,1006,4.0
mackay,-21.141956,149.1865149,Clouds,78.64,57,1017,13.58
parichha,24.8611876,75.4049635,Clear,68.02,46,1016,3.02
ararat,39.8553329,44.6943793,Clouds,37.62,56,1020,0.4
blankenberge,51.31700275,3.133658034483461,Clouds,49.23,87,1017,16.17
tarko-sale,64.9219991,77.779459,Clouds,-9.0,97,1021,6.69
amot,61.261177950000004,11.605205608876366,Clouds,36.32,99,999,3.62
whitefish,48.4108018,-114.334624,Clear,20.77,72,1013,6.91
skjervoy,70.17099735,20.69898970978413,Clear,27.28,66,1002,22.62
faya,17.9209323,19.0953202,Clear,71.28,31,1013,15.77
la ronge,55.1005283,-105.2900485,Clouds,5.18,85,1030,2.3
camacha,32.679439,-16.8448679,Drizzle,59.61,85,1022,5.75
santa marta,11.2320988,-74.1950883,Rain,82.42,78,1011,5.75
